책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
눈부신 안부,39537.0,9.4,14400.0,9.0,316.0,376.0,133*200*30mm,소설/시/희곡,2023-05-24,https://www.yes24.com//Product/Goods/118981227
알아차림에 대한 알아차림,36480.0,9.7,16200.0,9.0,204.0,270.0,128*188*16mm,인문,2023-05-25,https://www.yes24.com//Product/Goods/119136217
2023 에듀윌 공인중개사 2차 기출응용 예상문제집 부동산공법,35100.0,10.0,27000.0,22.0,368.0,,188*257*30mm,수험서 자격증,2023-05-26,https://www.yes24.com//Product/Goods/119107734
총 균 쇠,49464.0,10.0,26820.0,20.0,784.0,,152*215*40mm,인문,2023-05-10,https://www.yes24.com//Product/Goods/118755085
최애의 아이 6 ,77436.0,9.8,5400.0,49.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2022-04-29,https://www.yes24.com//Product/Goods/108848670
최애의 아이 5,78120.0,9.7,5400.0,47.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2022-02-28,https://www.yes24.com//Product/Goods/107091339
구의 증명,43056.0,9.0,10800.0,2.0,192.0,324.0,128*188*20mm,소설/시/희곡,2023-04-26,https://www.yes24.com//Product/Goods/118578901
2023 에듀윌 공인중개사 오시훈 합격서 부동산공법 체계도,93387.0,10.0,17100.0,39.0,128.0,,300*225*20mm,수험서 자격증,2023-04-21,https://www.yes24.com//Product/Goods/118430765
최애의 아이 7 ,85875.0,10.0,5400.0,40.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2022-07-27,https://www.yes24.com//Product/Goods/110582076
연수,10320.0,,15120.0,,336.0,,128*188*30mm,소설/시/희곡,2023-06-23,https://www.yes24.com//Product/Goods/119610004
최애의 아이 8,79425.0,9.8,5400.0,24.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2022-10-28,https://www.yes24.com//Product/Goods/114890010
"2023 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",130518.0,9.8,17550.0,7.0,392.0,,225*310*30mm,수험서 자격증,2023-01-13,https://www.yes24.com//Product/Goods/116904689
최애의 아이 3 ,78510.0,10.0,5400.0,53.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2021-07-07,https://www.yes24.com//Product/Goods/102414217
"돈은, 너로부터다 ",93510.0,9.6,17100.0,41.0,380.0,578.0,140*205*30mm,경제 경영,2023-05-10,https://www.yes24.com//Product/Goods/118795019
최애의 아이 9 ,86316.0,9.9,5400.0,38.0,192.0,192.0,128*180*20mm,만화/라이트노벨,2023-02-27,https://www.yes24.com//Product/Goods/117662568
최애의 아이 4 ,76650.0,9.9,5400.0,51.0,194.0,196.0,128*180*20mm,만화/라이트노벨,2021-09-15,https://www.yes24.com//Product/Goods/103537861
해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,136359.0,9.8,12510.0,28.0,332.0,958.0,188*257*21mm,국어 외국어 사전,2021-07-08,https://www.yes24.com//Product/Goods/102502665
돈의 심리학,157953.0,9.3,17820.0,216.0,396.0,690.0,140*210*30mm,경제 경영,2021-01-13,https://www.yes24.com//Product/Goods/96547408
클루지 (kluge),26280.0,9.8,16200.0,17.0,340.0,578.0,145*220*20mm,인문,2023-05-30,https://www.yes24.com//Product/Goods/119107183
리얼리티 트랜서핑 1,47565.0,9.2,9900.0,50.0,280.0,392.0,153*224*20mm,자기계발,2009-02-04,https://www.yes24.com//Product/Goods/3268498
이걸 내 마음이라고 하자,18942.0,,10800.0,,144.0,180.0,130*224*20mm,소설/시/희곡,2023-06-15,https://www.yes24.com//Product/Goods/119423730
여학교의 별 3 ,61434.0,9.8,7650.0,30.0,184.0,184.0,140*200*20mm,만화/라이트노벨,2023-05-25,https://www.yes24.com//Product/Goods/118922387
고양이 해결사 깜냥 5,130014.0,10.0,9900.0,27.0,92.0,364.0,150*220*13mm,어린이,2023-02-24,https://www.yes24.com//Product/Goods/117649685
코스모스,206625.0,9.4,17910.0,420.0,719.0,1002.0,153*224*40mm,자연과학,2006-12-20,https://www.yes24.com//Product/Goods/2312211
당신도 느리게 나이 들 수 있습니다,124785.0,9.6,16020.0,86.0,288.0,406.0,145*210*18mm,인문,2023-01-17,https://www.yes24.com//Product/Goods/116413548
보이지 않는 곳에서 애쓰고 있는 너에게,201297.0,9.8,9720.0,51.0,168.0,,113*188*15mm,에세이,2021-12-28,https://www.yes24.com//Product/Goods/105787441
아는 만큼 보인다,14280.0,,19800.0,,416.0,534.0,148*208*20mm,역사,2023-06-09,https://www.yes24.com//Product/Goods/119410082
